Frequency (Hz),N=1,N=2,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45,N=46,N=47,N=48,N=49,N=50
324832.6307,7.66128939506547+8.401163514926338j,30.485560607030514+32.586697777776045j,68.50940837605755+72.88585114766884j,121.7426171964+129.26748893367673j,190.21259541424533+201.66257913529972j,273.9278323460962+290.1825499657644j,372.8258491788038+394.8404402186385j,487.18119390302206+515.4728233875121j,617.7317592031625+652.0532892043254j,762.8041677412045+804.9613517602468j,924.5654712102685+973.9741598569669j,1100.682687053611+1159.0277954262472j,1294.5701449464518+1360.2633792448885j,1502.171748391745+1577.055859725624j,1727.7618187000012+1810.5859109227606j,1973.824410515243+2060.1547125852103j,2234.414736860738+2325.2559180734274j,2511.7259117773106+2607.2392528694586j,2809.952370700109+2903.848964675137j,3120.7532873401124+3217.950628148674j,3448.831522768928+3546.5973338532667j,3803.0316417290555+3892.950091304735j,4173.3010929472+4255.655765640643j,4558.732860437994+4632.872653272524j,4977.959696160076+5026.647228795884j,5414.481878023077+5435.297308276022j,5863.796741097535+5860.450184110798j,6338.740693828151+6303.454550877455j,6843.215262855706+6755.954854983289j,7363.805881474509+7230.545612281899j,7940.097447739546+7718.902374211965j,8504.596070912847+8215.811630878992j,9105.86915236666+8724.692009191825j,9728.144262067977+9254.23537672258j,10382.517654390627+9803.51170708043j,11078.99920173909+10360.429439934343j,11822.999341547107+10935.473562086478j,12622.223280191874+11508.613747448428j,13335.525174180617+12113.52998923043j,14010.349635344+12754.325928864264j,15037.101600273001+13327.409915893693j,15881.945086648393+13984.520992282602j,16796.953618425436+14623.799376812998j,17829.833152358868+15284.75319840148j,18738.199521228373+15953.910978448226j,19791.342350878214+16628.279843195454j,20869.132779883337+17299.838395432078j,21845.533646671593+18013.64536445713j,22965.43158016767+18729.861222656797j,24376.473632001645+19383.692929902492j
327311.0591,7.695322036448298+8.42011903992483j,30.623684772000157+32.65422149996269j,68.82240854906796+73.0333184834609j,122.29879664864501+129.52542703671656j,191.0873118469914+202.06906594876915j,275.1829713495612+290.7619152727235j,374.562849716258+395.6313059191345j,489.4155449657127+516.5008185007532j,620.5677824124107+653.288348314649j,766.3437260398127+806.5375833520642j,928.8340964144842+975.8082488370767j,1105.8199085019423+1161.2689143951666j,1300.6538859365482+1362.8686724772754j,1509.3474408129139+1580.1701710119378j,1736.2416420624415+1814.1339328663494j,1983.2333432226828+2063.8262279307164j,2245.014844755023+2329.8619756514518j,2523.900980619364+2612.0702319890843j,2823.2026438948787+2909.602261419432j,3135.21761775708+3223.786849366371j,3466.19989668488+3554.2112312365693j,3822.2858559147644+3899.9835496602977j,4194.7272957883615+4262.517784506903j,4582.0884674873205+4640.647497427929j,5003.8227203827455+5035.254740648229j,5439.503771741892+5446.129541484823j,5894.596806491996+5871.0073042312215j,6372.828644590853+6315.672574095961j,6880.7731315987+6767.121383714031j,7402.118079143694+7239.248138211696j,7984.843878362787+7725.855681048924j,8550.846441878544+8228.478738819555j,9156.012276462036+8744.569278314688j,9788.233062868425+9278.683391742625j,10440.778623437958+9816.032117370998j,11131.59292549927+10375.809650457972j,11883.53179948276+10947.934469234177j,12699.605708404919+11522.197178800045j,13415.714714744432+12122.710581359685j,14082.977117481909+12768.780152678492j,15116.895284980981+13369.895279423625j,15993.426297903183+14004.425661584195j,16916.90678906805+14634.205726395401j,17941.39260001536+15290.937928297768j,18868.307908354156+15993.596606526471j,19912.74849430492+16636.006689370035j,21004.225491506168+17286.854520052395j,22004.366884705076+18030.89260439968j,23137.171293194555+18722.29213708001j,24532.777833608907+19393.387226130708j
329808.3975,7.731311330598729+8.439705918246386j,30.763600395200342+32.72195495239539j,69.13575570167912+73.18315425087924j,122.85731236675373+129.78520174184712j,191.96995035646606+202.48187852476158j,276.4440988463403+291.3547820388252j,376.2708978909446+396.41394027021556j,491.69017831053884+517.5122031644023j,623.4393745211669+654.6257465810411j,769.8675794681094+808.1078075333585j,933.0502500426916+977.7860268351719j,1110.949723536661+1163.5531059503423j,1306.7263719480154+1365.6759510445374j,1516.5194627816766+1583.331086704975j,1744.274793869607+1817.6466007792187j,1992.660777825975+2068.0600168436918j,2256.134406106562+2334.4866115218406j,2535.861087567652+2617.087795643287j,2837.3799740005534+2915.411229800316j,3150.3584932820168+3230.1728774845537j,3482.945027055553+3559.6290593331055j,3840.751963240694+3908.4084535168217j,4214.924712337719+4270.815268148565j,4603.508916724903+4649.100708130616j,5027.882780585816+5045.452021067555j,5470.208779838915+5456.578443942402j,5924.311421995483+5882.415767401834j,6407.539166158934+6325.015299536876j,6918.310034484951+6778.433721960005j,7442.350858545487+7253.309258984596j,8024.562018670584+7742.762880936003j,8597.432841930962+8243.597029571483j,9207.267041216202+8755.982085511949j,9841.847878092845+9287.720517538j,10502.503034424763+9832.204950271269j,11195.494727474177+10387.000869521626j,11954.321909690949+10968.109806226226j,12770.363384989852+11544.429749314912j,13501.66701327673+12147.692002992444j,14174.91361838565+12771.710434525121j,15211.75493247311+13374.020222303012j,16093.801412902967+14000.13617865948j,17020.05022413182+14662.803478857011j,18038.113735351802+15301.348685621835j,18993.596831763698+15978.983464775729j,20036.61833270958+16627.127811088205j,21135.88837972605+17317.287007837716j,22130.871978678053+18026.45610168022j,23285.363840958988+18750.930584255562j,24691.3071240873+19411.76258361757j
332324.7903,7.765508979474002+8.458541374508284j,30.901620727544692+32.78995876974908j,69.44665455841933+73.33059790319318j,123.41184896440686+130.04528752945527j,192.8322794782177+202.8752915892164j,277.6908552395507+291.92140428578335j,377.97023418695835+397.1967488672329j,493.91855949129297+518.5540089398824j,626.270129815143+655.8853009570314j,773.4263654541286+809.7121685169489j,937.3494173427081+979.6160507451457j,1115.992015718848+1165.8453619531135j,1312.6597997787815+1368.076574309822j,1523.3856121461+1586.394959631311j,1752.2351608966105+1821.15766131628j,2001.9224441652268+2072.1274320619623j,2266.673510589085+2339.045316398679j,2548.1233636476168+2622.2045029071337j,2850.730436008032+2921.373852273782j,3165.1268244246276+3236.150939121064j,3498.9564818331405+3567.202674484412j,3859.156198516492+3914.2472615804j,4236.433092425934+4280.088103369245j,4627.158871121659+4657.171844632069j,5052.937542153796+5053.533675923012j,5496.4621025611505+5465.073304310385j,5955.845239459784+5890.898176217892j,6436.649920740588+6337.759173967226j,6955.602734185279+6792.569352753121j,7479.196871806591+7263.945812985191j,8072.38361019017+7750.997375686457j,8638.187249422785+8250.315133850427j,9255.368300436341+8770.674034018375j,9902.806635378525+9305.994327255234j,10555.12372673902+9841.475085589342j,11264.36223928873+10399.889383765008j,12025.200152754363+10982.030077669462j,12846.524287567807+11564.581393200599j,13579.607666091175+12156.699904514495j,14264.083027647825+12795.770493105136j,15300.995361837578+13391.585176498324j,16192.949747779887+14016.017024193297j,17110.28970544857+14669.696502112123j,18143.987403124316+15311.083463413497j,19109.06583610972+15995.640727697199j,20178.221990778075+16649.138847518865j,21288.420260665433+17321.47308209656j,22278.08923837107+18052.321651559156j,23396.657393579513+18755.22088907534j,24878.547883553347+19440.003934321223j
334860.3828,7.79921271975677+8.476904994452092j,31.03951986536459+32.857162239322804j,69.75719746685813+73.47872822809259j,123.96368137759849+130.30609734239144j,193.69747674912148+203.278924011393j,278.93658848783315+292.4966073015764j,379.67769468182513+397.9904323482967j,496.14712605652346+519.5735977904526j,629.1087085408993+657.1826942935668j,776.8742322232744+811.3181376523518j,941.6650159336883+981.5607709242103j,1121.167843992011+1167.9949468032835j,1318.7500723282546+1370.937393924611j,1530.5169324671667+1589.335657265315j,1760.5608775196379+1824.6546596765027j,2011.438202914938+2076.01252063447j,2277.190158936397+2343.57474913065j,2559.6527230767297+2627.128890473996j,2864.205673178272+2926.606057314799j,3180.281396263571+3242.7862036992233j,3515.6386888021566+3573.50874704563j,3878.1819578174513+3921.3084085772794j,4256.23290990693+4286.030095832095j,4650.1171990384255+4666.921256022247j,5079.49968156468+5063.341701254791j,5522.688680103231+5475.052452628366j,5983.581970138092+5902.789142745081j,6475.562514276316+6349.169105642307j,6989.474220766246+6801.8968412182185j,7520.488351532636+7277.565597096126j,8116.2613966398185+7769.193178384458j,8685.796720459777+8265.70291334965j,9302.547666571743+8782.213357889512j,9949.174308727566+9315.162161600676j,10618.359639558514+9863.48527458477j,11329.252829408086+10416.175032728625j,12106.53538102878+10993.861648331958j,12915.457931277111+11579.112925953383j,13666.59412094054+12170.866549411941j,14345.861911235848+12805.832047451378j,15391.101019943344+13408.139248546793j,16297.84177289006+14042.814118186794j,17226.966185244946+14670.552048034962j,18300.72625907462+15335.091275237064j,19223.476965181966+16004.827856816724j,20281.394412059006+16662.403749770936j,21429.69925548249+17322.43570343023j,22433.88447255822+18044.401838172264j,23551.843420248875+18741.6508379415j,25035.826055619928+19427.879438487907j
337415.3215,7.834063996118563+8.496412319964927j,31.17764163859597+32.925660311488706j,70.06935651276895+73.63037155562841j,124.51697315387555+130.5678632677412j,194.56553962542338+203.69286877319584j,280.198733579565+293.0962423872238j,381.3952681325295+398.79350281570413j,498.3875966373503+520.5934811178474j,631.9509912950697+658.5275704144983j,780.4208842544015+812.9983302785054j,945.8721238712685+983.6130528752914j,1126.2578034914357+1170.4616810103712j,1324.7500351267788+1373.640202546901j,1537.690466565482+1592.5599717665082j,1768.62261031719+1828.2963063004063j,2020.621184222102+2080.0189379086937j,2287.8233347610044+2348.052159528385j,2571.818796997417+2632.70041596598j,2877.4263211453767+2932.585938643317j,3195.9510931196437+3248.6629437748047j,3533.148299321822+3580.3107340312517j,3897.1845360863886+3929.8677738172987j,4276.4473808539+4294.218613277486j,4672.4017596782505+4675.674180935464j,5104.7023163014655+5072.159734707331j,5551.695324336928+5487.618111842262j,6017.358307400012+5913.079494860605j,6507.065594353667+6361.634864096234j,7025.296899096788+6815.817664353675j,7559.857763548433+7290.273777769739j,8154.90374088657+7777.979381954056j,8733.009944274594+8281.503332156484j,9357.576119368809+8799.13430994257j,10005.660523406337+9326.603758404462j,10681.768806585933+9877.278174519168j,11392.640568944567+10437.346570775888j,12167.776905206218+11011.549049766849j,12997.720167320314+11586.489223654697j,13738.143773315105+12187.642870599193j,14426.979121742033+12839.002681228165j,15492.323662360797+13424.691376867186j,16393.63383569627+14049.306441618448j,17338.519377875105+14693.601256908747j,18405.72362569126+15318.884366055141j,19350.81216845738+16008.411695275976j,20426.038281170895+16681.52454293668j,21566.304919257487+17311.844468744475j,22574.062370954445+18085.97502300778j,23732.19052094029+18779.25917012956j,25209.3760606715+19410.484951000344j
339989.754,7.869350594938275+8.515736638350566j,31.31547490282073+32.99488425827851j,70.38138986523971+73.78303097789438j,125.07099049484226+130.83659538332913j,195.4363676392214+204.10856811270554j,281.45350563165306+293.70629086829763j,383.1016088595509+399.6077703168541j,500.626031328392+521.6736574810277j,634.8007849885148+659.8415526550069j,783.9984482091741+814.6086251203952j,950.1553748312797+985.5536331698438j,1131.3856945349776+1172.8313181556268j,1330.806651723573+1376.3345601530348j,1544.642048959871+1595.9831160920644j,1776.7644624164475+1832.028168686302j,2029.968226525868+2084.414820125671j,2298.455880512969+2352.8775704425952j,2583.8369533869854+2637.875787880432j,2891.256816755472+2937.9924299079057j,3210.644606130644+3255.0703171533837j,3549.941594829179+3588.2207667493535j,3915.7979853804436+3937.1917447134783j,4299.386014616693+4302.653395721531j,4696.650116483349+4683.355071580888j,5130.599473616211+5081.814733590999j,5581.144637190361+5495.969162447114j,6046.469141584923+5924.685949584272j,6540.857715477623+6369.404010211081j,7061.104631302107+6824.566039667643j,7597.66076234424+7301.527175382294j,8198.98545602497+7792.379593014643j,8779.831118475058+8297.838873079592j,9411.030218031543+8813.229143761295j,10058.898334991738+9343.151545155855j,10744.188828524546+9894.912345107621j,11460.276254336817+10444.750209028382j,12239.894883534444+11025.09249266725j,13067.709120602536+11599.751816059497j,13827.81260143488+12204.635946972581j,14507.08653570395+12838.4690573373j,15583.506248988318+13449.062112635864j,16491.502833947314+14063.781359447199j,17442.732630228154+14704.415258465911j,18505.805627613703+15343.032552204726j,19467.56973231824+16027.008067490358j,20564.202686907367+16699.445736732414j,21724.023136570337+17330.292646597933j,22729.61688391455+18079.592373339667j,23892.21424749846+18789.87913385942j,25361.48139582909+19409.73449414748j
342583.8292,7.903412737442473+8.53538313421145j,31.455755918450738+33.065385104974276j,70.69519339806352+73.93603903838086j,125.62790314619528+131.10326644740715j,196.31134037288373+204.52167094637892j,282.70577110437364+294.2907363042111j,384.8230029473607+400.41301303368704j,502.88280646956406+522.7237111696901j,637.6519946755833+661.1984524049114j,787.534344282876+816.2522923330959j,954.4678330187742+987.5561724121457j,1136.4567270398745+1175.1022818955535j,1336.8547197887242+1379.160559707869j,1551.7564008885097+1599.0070394176846j,1785.2019345149904+1835.8153340842248j,2039.3496555339163+2088.4985202136972j,2308.9383104236535+2357.247296946421j,2595.7252202038962+2642.725799416916j,2905.0191262552767+2943.3042306508196j,3226.5104616150475+3261.7375189728996j,3566.7506480165794+3595.0725824195374j,3934.5364578049866+3946.054452724266j,4319.834218719084+4311.57823759707j,4719.333752342974+4693.482183369273j,5154.669221718425+5091.793661488472j,5607.58046772293+5504.932965309744j,6077.516956992184+5933.482996652165j,6574.293678015143+6383.433261679725j,7100.401416194713+6841.126050128105j,7636.4858571108625+7316.247825166623j,8245.698474540572+7811.404484751621j,8825.844775719124+8305.509843712945j,9458.673173191211+8824.995624925143j,10114.976109562824+9359.676088194225j,10798.645474496961+9906.210866886695j,11530.965454925743+10462.14201362007j,12303.431780324765+11040.002726353274j,13142.943310469009+11629.673896831657j,13912.438066116987+12219.78358197343j,14600.463822410631+12860.402917278765j,15683.399409348467+13441.193728515811j,16579.850734005977+14081.507565366852j,17553.85860565503+14725.749530830308j,18648.263932197802+15360.492580525666j,19600.988580195397+16039.156315922231j,20695.03189820884+16697.463487068126j,21832.853537303483+17356.07359839534j,22860.923076753716+18094.766633250558j,24065.059494845867+18800.34182513845j,25538.384715545133+19448.56357548862j
345197.6967,7.939414515219546+8.555601875045348j,31.594477463062482+33.13518964106384j,71.00577176758543+74.0906831089302j,126.18150448996272+131.373150632037j,197.17315276555152+204.94311343621348j,283.9585372214912+294.8976663670392j,386.5157393493636+401.2067849309428j,505.1121528784951+523.7762500565109j,640.4897252977302+662.5165711797914j,791.041557403573+817.8884144964093j,958.7527091040523+989.6194052833769j,1141.597279456653+1177.5148491090576j,1343.0071817130672+1381.9212577181754j,1558.8517038538391+1601.9978117028213j,1793.37121999164+1839.040065916791j,2049.064990729341+2092.659591523253j,2319.892888872957+2361.8653721302494j,2608.3388794713774+2648.1032495687455j,2918.4061414742464+2949.6828728083697j,3241.3230593902367+3268.051594398808j,3583.8713811770845+3601.668714997794j,3953.409795076359+3951.582269077191j,4338.609897561011+4318.655770686688j,4742.436147286808+4703.3294165589905j,5180.469041488303+5100.86595685615j,5635.363744849357+5516.64684811208j,6108.052988557779+5946.976233094835j,6606.033048937455+6393.058223238534j,7136.359342673566+6849.343508718634j,7680.88908051376+7329.635574207412j,8282.132102245516+7823.323555228599j,8873.076573627615+8323.777861654058j,9509.492157925215+8840.031836848171j,10175.728678739302+9373.61897136454j,10857.035316987878+9918.98861458624j,11588.677900987457+10480.257592224754j,12376.500373210598+11056.40379779519j,13219.95761763247+11638.048797079347j,13981.396045273203+12228.412102105716j,14690.797492365957+12878.355414078944j,15768.198241675835+13473.266456241623j,16690.04228624534+14092.369649482936j,17660.776439896075+14743.091647965157j,18747.34631855816+15373.508824408358j,19719.488055717175+16069.802156408536j,20823.218766752234+16721.660819379773j,21991.808545777796+17374.782690797587j,23014.347776184484+18100.606314140103j,24218.96422760135+18785.994662416197j,25714.20362273715+19409.983490172664j
347831.5077,7.9739018562975605+8.574883164491439j,31.730954461384048+33.204550576186236j,71.31318986441829+74.24203991787893j,126.73328938437804+131.6384529956349j,198.02949065972496+205.3579256424127j,285.19097362358684+295.4914317836074j,388.20805875298174+402.03101836006226j,507.32108487141784+524.8308199923359j,643.2769797155621+663.8626057123163j,794.5001618982756+819.5312104634644j,962.9881039224118+991.4356781974399j,1146.5498693015393+1179.8910438837006j,1348.9858007205632+1384.566274720026j,1565.8645504407684+1605.2021650771849j,1801.5008137393895+1842.730740503956j,2058.1719093016095+2096.9289482577437j,2330.34572886446+2366.4070354326964j,2619.42705490808+2652.9885925609706j,2931.6723039450685+2954.819918707071j,3256.0006037482526+3274.4837460943468j,3600.353856163722+3608.495896075774j,3972.299613666147+3960.031369207345j,4360.129313038885+4327.969634744041j,4765.98080554825+4709.958834625595j,5207.093578278285+5110.46275938874j,5664.938285029627+5526.010109173459j,6139.819955098737+5955.599867772615j,6639.7509035808425+6405.18103954635j,7169.884893312191+6859.42077653502j,7717.822902051954+7344.275818839461j,8328.589545456158+7832.605067642097j,8919.693926864926+8336.699443643285j,9566.404337064643+8847.977469039952j,10227.439317058905+9389.787418598475j,10924.286956115122+9935.799906193297j,11652.690938643069+10493.956204195807j,12449.313265461245+11068.814424875382j,13299.212690387809+11655.560790075057j,14064.755943765445+12253.508102894295j,14776.219113548497+12892.740411633686j,15869.657144890109+13495.090643416685j,16784.237974679483+14115.146800906005j,17759.506020707515+14760.837384813878j,18861.390048865847+15370.233905337784j,19848.50457334029+16068.462323589645j,20941.367613305498+16704.70082312872j,22130.96739126521+17353.085592171858j,23155.654545231842+18075.544390165545j,24388.52831372318+18767.26896104505j,25880.86833667682+19423.05402315768j
350485.4144,8.008366198223346+8.594053904784388j,31.869328446325767+33.274543414459544j,71.6253839999085+74.39826967575216j,127.28824691398626+131.91310679125667j,198.89808556400655+205.77186360497095j,286.44573867977766+296.0927840104816j,389.91779346331003+402.8382422770571j,509.54854013699475+525.8990952230984j,646.1310210286715+665.1917070968185j,798.0111883205806+821.1590667539684j,967.2240290110082+993.526689058942j,1151.7355463266572+1182.165419031371j,1355.11685292577+1387.4198315523058j,1572.9074739364994+1608.5433747687475j,1809.5440746850975+1846.439038354754j,2067.60875350945+2101.0251616026385j,2340.86307478525+2371.0550914757314j,2631.887714707576+2658.153454463116j,2945.5052676898817+2961.3690074647534j,3271.6420919011603+3280.6352010296173j,3617.8847972374406+3615.0020056882736j,3991.0207336135973+3966.8644276276123j,4381.302997370185+4335.371534031038j,4787.477621005262+4719.453890676922j,5230.0223719129335+5119.251837256414j,5692.042071790758+5536.248842477j,6169.354262548915+5966.281297083851j,6673.5265988234205+6416.731564752325j,7207.965502708469+6875.713163887604j,7756.097195368853+7357.300212259532j,8372.590448380452+7852.2277260565525j,8964.333468947369+8349.136073913682j,9614.251887874649+8862.596262686127j,10285.19282726852+9398.831125553594j,10980.696778518333+9952.85378967579j,11722.532347315091+10509.440052179889j,12517.035122128429+11087.095730599727j,13373.501443456269+11664.050020070643j,14159.244449863183+12259.601227922029j,14872.779941109091+12900.309123460278j,15968.845908536927+13500.922775344818j,16895.281437597863+14120.144363527565j,17877.389620810412+14763.971067210907j,18983.530226086525+15392.700480906089j,19956.844769040057+16084.504824510233j,21103.297689833405+16724.0592659139j,22290.76346852025+17349.253263257873j,23326.184686627654+18112.994646024592j,24522.61882804367+18772.17956779954j,26045.019915013087+19418.852438845803j
353159.5699,8.043040235839706+8.61409654545806j,32.006856502439874+33.345388814717325j,71.9356113394711+74.55297594023051j,127.84034355076619+132.1860434755785j,199.76025438125737+206.20047459928176j,287.6954715055473+296.7080814890115j,391.6149543455818+403.67446390531666j,511.7937293643227+526.978989435081j,648.9536869695158+666.6041889683025j,801.5628333415962+822.8386576041057j,971.5261356816352+995.5138379409419j,1156.7734632587567+1184.6630400773752j,1361.19927857756+1390.3041517894876j,1579.9815907684026+1611.7466602603415j,1817.6794638440153+1850.1558141278151j,2077.0488787378413+2105.1071108062224j,2351.6619203756+2376.3190577857927j,2644.104787479048+2663.7301028112634j,2959.649189215848+2967.4533148115975j,3287.194210560321+3287.1507313289744j,3634.7365718528276+3621.7543031889654j,4010.2448080924833+3976.1789687891173j,4403.883908369866+4344.229714537599j,4810.502240119711+4727.713370792961j,5258.337361378241+5129.468018173479j,5720.67366866974+5544.786959844382j,6200.402715543016+5978.308578118944j,6705.53661919997+6428.416276913406j,7246.936429618643+6887.440932902751j,7796.2264956128165+7366.426798279656j,8414.492003425976+7858.122744895789j,9015.774307244039+8365.738441473599j,9667.198615495268+8884.570005759j,10332.369218881506+9423.063090093676j,11041.860214121729+9962.467634209284j,11783.667936582679+10530.029959185194j,12585.480805574538+11109.712222817254j,13439.952445179784+11681.810293366389j,14231.763921092108+12275.376346160725j,14972.963604085598+12915.944438793334j,16040.793928855986+13499.643125813074j,16999.71174050878+14138.829752068938j,17985.534757746813+14760.267497000912j,19112.782001758642+15427.246798096807j,20092.284291503023+16078.702364718283j,21218.43539302932+16734.77487877772j,22404.836517775184+17377.895686910808j,23466.086539940516+18087.27950421679j,24679.424452497024+18771.803848096082j,26197.710553562814+19429.935340674754j
355854.1289,8.077099529077909+8.634574495946744j,32.144243281847494+33.41751361273416j,72.2467759471206+74.71307303116922j,128.3861626429614+132.4550874902537j,200.6229190493107+206.6342206743094j,288.9273136882802+297.3123681741813j,393.32666036698095+404.5118123712064j,513.9988214616128+528.0656959427746j,651.7633002291233+667.9647494348922j,805.058015237077+824.5656262436777j,975.7923515408321+997.5068710939621j,1161.9355390306393+1187.098648268594j,1367.1434621931364+1393.032638606449j,1586.9278233887546+1614.7466436254933j,1825.8657681885193+1853.975670386228j,2086.047311654917+2109.3219893265164j,2362.3819954496653+2380.8679075174555j,2655.972527709414+2668.921903203398j,2973.1243290486823+2972.7427890780023j,3301.680524643986+3293.755304640636j,3651.640057597967+3629.223438771476j,4028.50950660768+3982.5008056025654j,4422.11269104197+4352.642147960969j,4835.287973275109+4737.106745408382j,5282.094899679387+5138.534703771371j,5747.071797316369+5554.128540538937j,6230.523050920777+5990.637414351401j,6738.788664464325+6438.359297058732j,7279.772475275594+6901.425252956761j,7834.681280520051+7379.892496845859j,8458.356980894834+7872.72425320458j,9058.521383902216+8379.540390827005j,9720.06948078368+8893.428099369306j,10396.538728996316+9428.597749407605j,11100.92985831368+9976.517550746206j,11855.457720029037+10533.48358766382j,12667.220729122531+11111.883726034232j,13525.1040081859+11692.32266682953j,14310.665171571707+12289.582812334505j,15041.24040377276+12937.795442055714j,16145.160835361394+13525.875706238032j,17111.976223042566+14142.171882152368j,18092.579531708107+14787.68671039756j,19216.995610371694+15407.902333178099j,20235.927878068236+16107.521764596246j,21357.180982246693+16727.568060332356j,22571.157175275275+17363.147587926724j,23626.12509218407+18099.009302557544j,24866.586073472456+18780.988904525115j,26396.79780177142+19449.75842386048j
358569.2471,8.11099321856203+8.65421697283076j,32.28052799234664+33.48866312855439j,72.55655496399714+74.86762653459077j,128.93731453554017+132.73285628742028j,201.48940930909566+207.0570252682864j,290.16294159382636+297.9216370797081j,395.02191919888713+405.3499289266454j,516.2192807958982+529.1676861501478j,654.6239771733821+669.340956962952j,808.5179295465109+826.2423312385715j,980.0117732972594+999.5574096189857j,1167.0245869668977+1189.4414567741237j,1373.0902792602844+1395.9374793416039j,1593.875786227247+1618.2634148259729j,1834.0389083907394+1857.438767795246j,2095.5736001740916+2113.744668459941j,2373.2865365517373+2385.7916342786575j,2667.7934796957884+2674.3270672514977j,2986.2252268602424+2978.550322102215j,3317.282424474752+3299.7473077141976j,3668.1465712089566+3636.8196378672624j,4047.3315292528428+3990.7967927494046j,4444.444957470488+4361.53128443575j,4857.832018303106+4745.249052068693j,5305.96307916031+5149.249782820649j,5775.564068123962+5566.2552867462455j,6260.152877629046+6002.179250454052j,6774.047393949378+6452.45872275852j,7317.673659865433+6912.372641653912j,7872.640042178811+7392.599267973601j,8504.553559797652+7887.550326737863j,9103.771824863257+8400.467142652615j,9768.065810106837+8909.475292059198j,10450.682425986726+9444.712068294773j,11163.7699363232+9997.110293925778j,11921.828640009846+10553.95764730245j,12726.113155993622+11139.300120962413j,13594.38460680333+11718.973750855484j,14392.950461220285+12309.233345518503j,15129.599183640797+12961.156050932288j,16248.142531114461+13542.031700160336j,17205.816594618653+14159.11365122739j,18184.104770348044+14804.101383245288j,19339.853497221364+15426.722543463437j,20340.595227764094+16105.993042126447j,21509.514813243462+16753.893613792454j,22710.63111324329+17386.840127052106j,23775.795456588545+18098.287300231306j,25019.772607433435+18816.974902493588j,26543.892217313016+19439.125618676957j
361305.0812,8.146317529608323+8.674473775167437j,32.41968898582226+33.56065902032097j,72.86945312772289+75.02786758926287j,129.49768929590658+133.01849588233358j,202.35208062306373+207.49039866090556j,291.4109095282499+298.54933353703825j,396.72771600954815+406.1780175155354j,518.4711379342575+530.2647385430332j,657.4649355063965+670.7083297288366j,812.0140486345206+827.8838052966087j,984.3074805697537+1001.6985693807446j,1172.126382784367+1191.8273080257045j,1379.1158039959685+1398.7518296519215j,1601.1108868062506+1621.5581829523599j,1842.1331578509094+1861.3521040224011j,2105.107392044173+2117.7831644331877j,2383.5851179429897+2390.107291937137j,2680.1782006514454+2679.9187831052454j,2999.8760756554107+2985.2142286784056j,3332.71710962832+3306.1063549662044j,3685.28973809878+3643.7248295479226j,4065.142582362536+3998.8806166583686j,4465.625031734429+4370.253947093007j,4881.220587852312+4757.3044908988895j,5333.137237451887+5160.719491456749j,5801.875605950882+5577.14263201615j,6291.4958614617535+6011.927902984424j,6806.514620594578+6462.103816108611j,7353.567216641309+6924.045046340801j,7919.914293550425+7409.647613391327j,8545.811777819685+7901.46499008398j,9161.403994082582+8408.13438113092j,9823.65351970316+8931.045795338034j,10505.527312188715+9468.26593988342j,11215.230120048305+10015.146305514229j,11985.551923020008+10572.931968788083j,12808.078202313609+11149.993709292321j,13672.29455513568+11717.565390593572j,14473.650366411834+12337.801457171534j,15215.401826101735+12967.87061321665j,16358.599074159854+13557.20462475517j,17308.903304102816+14188.484029611003j,18318.891016463433+14807.807238350013j,19469.821475102384+15452.43436028729j,20462.5962789009+16144.509044230008j,21654.79029253687+16768.542500722666j,22863.807309549342+17410.603843249042j,23923.130748285406+18151.109986684794j,25179.950250793758+18782.952157131287j,26756.28397403439+19434.364609361575j
