Frequency (Hz),N=1,N=2,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30
107897.2311,4.406571424673494+7.67306753611716j,17.461653799270206+30.198445297251734j,39.14351308563789+67.54756611820534j,69.28723648972228+119.56786482185134j,107.85244771962938+186.37712505456838j,154.69116773624359+268.0348400719384j,209.2341526811156+364.25943874945045j,273.2161902645987+475.69863018116365j,345.65085409927974+601.8486257629124j,426.4562488188421+742.9241108399667j,518.7701998639849+899.9494917514141j,614.5359056286887+1070.069645948041j,721.2892289073723+1255.9295205324684j,841.4149250939107+1458.2370994046878j,975.2561062724642+1678.0797742384657j,1090.9873633460575+1901.4776565490763j,1232.3312557604802+2146.9970236966474j,1382.9580177403625+2408.3318569875523j,1602.9786204151608+2767.1771281399774j,1713.0209888853356+2976.653625402506j,1896.472668584894+3285.753540746222j,2076.0246602051006+3604.618853033863j,2269.633848338855+3939.9945348513925j,2475.5420907634148+4292.169013479288j,2681.4790672726817+4656.372894639487j,2906.002422235822+5037.1007283464905j,3138.3051513818336+5435.0145776417485j,3375.4051630402023+5846.9376702091395j,3651.816522964351+6284.295490570973j,3995.4208092339536+6755.990980149547j
108720.4722,4.447735663660554+7.7003678617341205j,17.624212083877556+30.305247700109646j,39.5071714649272+67.78752066192084j,69.9311694536548+119.99338167973804j,108.85984876318263+187.0459935933568j,156.13523216417397+268.9932085707606j,211.2077718581273+365.56617840421086j,275.7812885073157+477.41343723341475j,348.9284200304243+604.0250454093552j,430.4891438130801+745.6127624290687j,523.671076079255+903.2181607098629j,620.3677895409629+1073.8878300920353j,728.2113678976768+1260.3404766811134j,849.2773050060919+1463.3452761895762j,984.2545665921078+1683.7072989741432j,1101.1621312163934+1908.156355053152j,1243.9825451878032+2154.9089506762616j,1396.30870303119+2417.2263472295144j,1618.1214653318311+2776.4876064053346j,1729.2554600629699+2987.5171144779547j,1914.0271336603164+3297.2532169742753j,2095.8583745433903+3616.9931452419028j,2291.542870710044+3954.307916720248j,2499.0332504622716+4308.09752228905j,2709.0437301388956+4673.201501236791j,2933.2277847841024+5056.3427686890755j,3169.1841274191606+5455.904931030427j,3407.715023095479+5868.770094974062j,3686.137758009+6305.948856272689j,4031.00997791912+6778.563701197391j
109549.9945,4.4891822614930526+7.727912480857128j,17.787654296119154+30.413108433350615j,39.873413104458095+68.02773539400565j,70.57748166216138+120.41971826951897j,109.86888452110767+187.71391164799527j,157.5906365812897+269.9600537380322j,213.1871051525327+366.9011602957422j,278.38986830098025+479.1257454881553j,352.20733161969247+606.202701409148j,434.5384207355079+748.2862295740955j,528.5636575220296+906.4826916268553j,626.2883613284611+1077.824987487837j,735.0483045193346+1264.8962430569661j,857.2975109296166+1468.6256490351338j,993.5573716513228+1689.9092765098083j,1111.7240937187098+1915.0700070097669j,1255.7413298142756+2163.076575572549j,1409.441927385009+2425.925081425344j,1632.9281040380126+2786.5117261854098j,1745.4976601602361+2998.086676186043j,1932.277039343252+3309.165906799729j,2115.9922354596656+3630.8245814064685j,2312.9114198340517+3968.745327794221j,2523.024464291917+4323.208422343916j,2734.5140544881046+4689.6204140795035j,2962.6300786812844+5075.275958614303j,3200.0471960358705+5475.248070470557j,3441.6958037483387+5890.290028351788j,3723.059658035278+6329.383172173808j,4073.2174673644563+6804.4013722305635j
110385.8459,4.530077017339683+7.755775852337585j,17.95206823099935+30.521214313628892j,40.24100714864422+68.27034712396939j,71.23143826088112+120.85391744571001j,110.88771693673986+188.38811244335832j,159.06360590131214+270.9394292828351j,215.19731867680946+368.2455219212287j,281.01287940653265+480.87710490722014j,355.5493479485824+608.4034269355908j,438.62870675603335+751.0430274841697j,533.5693018271521+909.7838133953184j,632.1294463364542+1081.7713961689738j,742.0363881346343+1269.6325163192607j,865.482799541264+1474.0152400593163j,1003.0195879769608+1695.95359010055j,1122.3861410421007+1922.1360770110564j,1267.5894717538508+2171.000018251984j,1422.9685740315067+2435.020308204362j,1648.866011290471+2796.0302833717474j,1761.8118482623627+3009.0556475116146j,1951.2526584402815+3321.2859913715497j,2136.29456804309+3643.8587160050633j,2336.057957662356+3983.649831923454j,2547.142567907296+4339.810355587627j,2760.5373869786586+4707.795203695632j,2990.4129499759615+5092.900996768581j,3231.9211515023785+5495.7479868614055j,3475.8822476237665+5910.59991584923j,3761.6982191700235+6353.385857183863j,4111.894133871551+6830.202414460683j
111228.0747,4.571998002949392+7.783384064664007j,18.118538582251766+30.63042383129699j,40.61391427129072+68.51717571567707j,71.89114681034062+121.2903678802238j,111.92362217324768+189.078418025647j,160.55942887607972+271.9371439400869j,217.22103788696919+369.60053995724337j,283.6597003951618+482.64390492663114j,358.91595412903155+610.6438643512154j,442.81804402449933+753.8206693639777j,538.6367026384216+913.0850552549042j,638.1919273139824+1085.7511983319675j,749.1153565279357+1274.2770880642347j,873.7154960953558+1479.4110538106147j,1012.4134833461236+1702.096721139502j,1133.1299549408313+1929.1756433978444j,1279.8369894237865+2179.065566129433j,1436.435073265431+2443.8161824452163j,1663.6470025596054+2805.6544843822403j,1779.1562372018348+3019.5996920181697j,1970.0269805176158+3333.154536458256j,2156.78233105908+3658.178859701421j,2358.6709590954274+3997.856617523893j,2572.803874147016+4355.0370749644535j,2788.025179741517+4725.459634780196j,3020.35238940619+5112.368839755676j,3262.9817848562234+5516.949422357801j,3510.3960004026058+5932.313304755302j,3796.9791646047142+6375.971260644368j,4155.016707951946+6853.894973473688j
112076.7296,4.612855535029673+7.809548351963216j,18.28216123017419+30.7331768425906j,40.98015961776047+68.74593182000812j,72.54151877766938+121.69875323202669j,112.93610756072319+189.71651317738952j,162.01682006754422+272.8524486804217j,219.20615618977686+370.849900986821j,286.2535836482767+484.30138397999593j,362.189509717741+612.7417300169811j,446.88017510245544+756.3656135033928j,543.5890591696849+916.1798498873354j,644.0077352851299+1089.4167837887687j,756.0003379200494+1278.5901675584817j,881.6856662763677+1484.4750960042663j,1021.7178166255524+1707.8277784348625j,1143.535093069438+1935.7259607059364j,1291.7080371365937+2186.4410286480806j,1449.7972551914884+2452.4445529103095j,1679.371027493493+2815.6433683209984j,1795.5821569459126+3030.3644792657956j,1988.6996750946812+3345.4098325432033j,2176.9614226563085+3670.0634482621185j,2380.656461852421+4011.060861318065j,2595.787423241454+4370.0817427568545j,2814.083064164718+4740.471500222693j,3048.96992414286+5131.560217802713j,3293.3838603071817+5534.924625456159j,3543.243790463535+5952.883262728386j,3833.3393175915157+6396.733959346118j,4191.508935970436+6877.441150356208j
112931.8597,4.65479711837366+7.835619319004617j,18.447777603834965+30.835462083560078j,41.34995805312258+68.97090804981103j,73.19402470197154+122.09774617256404j,113.95008375492473+190.34307718883005j,163.47594398979996+273.75515908045884j,221.1945103939012+372.078901631878j,288.8591529341641+485.8811480044764j,365.4569787230259+614.7384413316535j,450.91264034201856+758.8780187646099j,548.4593564684138+919.2300624584287j,649.8996204812869+1092.9965216134808j,762.92186046769+1282.8112327326705j,889.7234226310637+1489.316495247401j,1030.9831845491103+1713.3339147425916j,1154.0185957563513+1942.2775478590038j,1303.443675878879+2193.692935953009j,1463.1860659115896+2460.4161059283733j,1694.7247945892098+2825.0344481521674j,1812.3597806847954+3040.5712755585137j,2006.230518233453+3356.0847499972565j,2197.2001247246603+3682.376741913772j,2402.766970204637+4025.5816807005963j,2619.9111254116574+4384.732655505772j,2840.125431856058+4757.5980788364295j,3076.632080355007+5148.030575516822j,3323.10314125171+5554.088143770923j,3578.0472602932746+5971.208928779014j,3867.46616213073+6420.504041767178j,4229.352948726055+6896.70899753311j
113793.5143,4.695502696868092+7.861185499633167j,18.611363576699727+30.93583663834915j,41.71756904337052+69.19360391078962j,73.84475318870642+122.49046067654463j,114.9613753205429+190.95516225848803j,164.93693742016868+274.63734746783047j,223.1774161994083+373.2921870890256j,291.44668332563054+487.474147288469j,368.76414628251274+616.7437045604518j,454.9996173073199+761.3389681452234j,553.3976028982664+922.1810740301182j,655.7601186218179+1096.5422868151275j,769.7819413371651+1286.9386892870734j,897.6756917402214+1494.1986281412205j,1040.104241146563+1718.9433634974841j,1164.5364686120142+1948.5380655876575j,1315.4333989835059+2200.7773754034574j,1476.6379846813888+2468.686597451204j,1710.654113465055+2835.089385819016j,1829.0631129174114+3049.980475190483j,2024.3402081641088+3366.388999968315j,2217.1899731244675+3694.01238967886j,2424.4580006633723+4038.041323438558j,2644.397846360325+4398.768213643194j,2866.4064451949703+4773.149679165011j,3105.803419545281+5164.118766004617j,3355.631084906833+5570.177912178639j,3609.470544614962+5992.877263255443j,3903.7031693864205+6439.677163594063j,4264.263097541083+6923.068654022901j
114661.7432,4.7381623009424265+7.887823368703243j,18.77969776088095+31.04004894709321j,42.0904833252073+69.42610510038908j,74.50831057861089+122.90580180670496j,115.99552939121287+191.6039583261373j,166.42398498693683+275.57751919619477j,225.19192026370527+374.56873422310724j,294.10073364765475+489.12081564232693j,372.12806411738075+618.8451903946325j,459.1614800103451+763.9493503593058j,558.4488228044896+925.2624072622156j,661.7114533670915+1100.3320490505705j,776.8485804921462+1291.2683749262724j,905.965047728782+1499.2281906393275j,1049.5520002090095+1724.592726019128j,1175.0506840972446+1955.243895403486j,1327.5799643956834+2208.2190131346833j,1490.1353767434653+2477.011005004621j,1725.7980852831402+2844.064808677327j,1845.8346380380774+3061.03815837751j,2043.9099434261875+3378.236171810383j,2237.8294488900237+3706.630000630291j,2446.7366714831282+4052.1429271508187j,2669.671903891178+4413.330580110986j,2893.6417242176076+4789.399008672384j,3134.74704837733+5181.788788942233j,3387.4939079298897+5591.546073862099j,3643.096643484278+6013.2943910519225j,3942.675693253754+6461.832091407695j,4307.286712881655+6943.494018262812j
115536.5965,4.78035478381912+7.914476498992354j,18.948149888156653+31.145329847510094j,42.46936663256259+69.6610974260282j,75.17823792344605+123.3239751029084j,117.0437926508805+192.25207005511905j,167.93003214714045+276.5160087952709j,227.25587182360033+375.8504729712223j,296.7922774415555+490.8209386240435j,375.5338435192843+620.9865463771504j,463.3465734907923+766.5941904933732j,563.5646767062234+928.4385447609241j,667.8508686310523+1104.0431654943134j,783.9772925284068+1295.8202003941276j,914.1854935170634+1504.364733598522j,1059.263443011022+1730.5076167890916j,1185.9157945059003+1962.0498562792466j,1339.699152530884+2216.1776087577746j,1504.282645841421+2485.542595400448j,1741.9848064986345+2853.4677703210978j,1862.946106034899+3071.5852216839585j,2062.08258743082+3389.9859868841327j,2258.342700339422+3720.1848720916687j,2469.9750764761106+4066.107700336686j,2693.521908971049+4429.699820644262j,2920.4373153835277+4806.014143087842j,3163.6397253385344+5201.180586287399j,3417.488267437544+5610.118041813973j,3677.6582472420437+6033.643251758277j,3978.870716458135+6481.986212854896j,4348.473188338282+6966.906359475664j
116418.1249,4.822537809718653+7.941238498586704j,19.11758834436863+31.25078410891477j,42.84786623958786+69.89745880772239j,75.85126825760746+123.74776313289077j,118.09454259062795+192.91948245976096j,169.44476392637085+277.46933429840857j,229.30755512526346+377.16428587312424j,299.4931992754499+492.5318312670342j,378.964569039803+623.1520208709437j,467.5862476577215+769.2532749175626j,568.7024889638396+931.6613230104002j,673.8930791883524+1107.9443639502833j,791.1375516927958+1300.3388448025034j,922.5537768468458+1509.611236499414j,1068.8400227851473+1736.2060114765934j,1197.1020349142188+1968.9010597228416j,1352.229870697455+2223.800096973841j,1517.9187122475125+2494.2887499110407j,1757.504814801151+2862.7785644019723j,1880.01487303529+3082.3478309773814j,2081.308967359644+3402.031557190793j,2279.2461594953693+3732.1538179069225j,2492.7135301385483+4080.094887916804j,2718.962726697082+4443.9720900212105j,2948.5678205377985+4822.517718584982j,3193.817160468671+5218.523681691318j,3451.6191105063012+5630.7328683560745j,3713.998780518047+6055.902214527586j,4016.6574104861734+6507.349100163412j,4387.9242133150165+6989.855503184683j
117306.3792,4.865345924506493+7.966956181115655j,19.28658978085231+31.352236530045822j,43.22745863172502+70.12567222927336j,76.51931386099965+124.14919033782412j,119.14198340841045+193.54788204619044j,170.95276251953862+278.3771306666996j,231.36293201623886+378.4070318094862j,302.17707173404125+494.1319930072278j,382.35477886806024+625.1872735046601j,471.78253274280047+771.7736804343755j,573.7998538814584+934.682962720155j,680.0101263471213+1111.5167424838291j,798.2648843290614+1304.5899539769168j,930.9004738723761+1514.4789831437474j,1078.3849262120846+1742.072951547718j,1207.953711252582+1975.351615845442j,1364.568095794054+2231.203516274137j,1531.7900983323295+2502.32074296124j,1773.1710981384624+2872.18355144278j,1896.4832718138516+3092.409419502336j,2100.622547623511+3412.8009100981094j,2300.268446268789+3745.417256597185j,2516.1811700471126+4093.6623632302576j,2744.4110193615866+4459.088232755292j,2974.7635585944317+4838.075514631405j,3223.0902567973108+5236.266246509335j,3482.631692923484+5649.460494850461j,3746.4770724038794+6076.493494733703j,4052.5232811095457+6528.39038158203j,4426.3691386727205+7011.595194536374j
118201.4107,4.907430006222768+7.992770448297789j,19.455434988426997+31.451717892006954j,43.6015320648423+70.34736346873596j,77.1857226562458+124.54367511281409j,120.17702127205767+194.16709773431415j,172.44020754362052+279.2700417290412j,233.3913667925752+379.6220097180211j,304.82898454256167+495.72488097151626j,385.72396182635595+627.1828168312659j,475.92013172229935+774.2489562473808j,578.8230281248667+937.702124774015j,685.9587980370989+1115.2062343046891j,805.2560078020725+1308.748769866023j,939.0262075935578+1519.3074739971223j,1087.7105854622146+1747.4925794829912j,1218.4828092530447+1981.92671412479j,1376.1978949780307+2238.1901180663776j,1545.0888818875922+2510.4338994447107j,1789.255350233161+2882.0287723939477j,1913.7293926799257+3102.163123984078j,2118.933617596045+3423.783310178213j,2321.201887398897+3756.6538822346065j,2538.0793653667697+4107.05493894776j,2768.2626134675334+4473.462191232857j,3002.3229475380795+4853.459652299381j,3252.696086363091+5252.676060530151j,3514.298417886993+5666.63970587987j,3779.6191368391555+6095.732132666444j,4090.038097012922+6548.653486296782j,4466.990665414018+7034.418048880738j
119103.2713,4.95039659621876+8.0180273347983j,19.62478801211152+31.55070820473611j,43.98003047360084+70.56307958293415j,77.8537650766468+124.92810663973613j,121.22351647090152+194.76291009220245j,173.9426603537602+280.13131853123025j,235.43071409504483+380.79012377215724j,307.51867431526995+497.2690232512868j,389.0855049599783+629.1278453278512j,480.12782302279123+776.6713592679071j,583.8741884956987+940.5691402812969j,692.0655287676832+1118.5304570581895j,812.4087616974142+1312.8294395637392j,947.2948867119208+1524.0349885681999j,1097.2802291615903+1752.8602481398868j,1229.3536081502918+1987.9245035874965j,1388.7200982406805+2245.241822782506j,1558.8791386907703+2518.0554917319096j,1805.1871473618005+2890.6791177884156j,1930.998688903458+3112.026349205056j,2137.5541216852093+3434.5806858558717j,2342.4556639451657+3768.4522435188337j,2560.9396310273014+4119.735471267601j,2792.8995871920897+4487.247007586232j,3029.031573468005+4869.690238765869j,3282.5723379477454+5269.619244460411j,3548.1447306653527+5683.092145890772j,3813.9725692626366+6113.725115071604j,4125.188765447691+6569.842323070828j,4510.191110569917+7056.101165570743j
120012.0129,4.992675527828565+8.04333576412764j,19.794248960882918+31.649802949386842j,44.36133511182265+70.7879625859039j,78.52897866113973+125.32140727548907j,122.26964880611986+195.37824769922398j,175.46018044716337+281.0268182635522j,237.48368510226172+382.0111859674166j,310.20220329765067+498.8496672263025j,392.48674122055434+631.1690064457364j,484.33710838191877+779.1450889929823j,588.9587031366331+943.5652077506136j,698.1548190719109+1122.0899003588063j,819.4968012119712+1316.9167237476327j,955.6215655508967+1528.7969756079985j,1106.921944835237+1758.2846228546864j,1240.1392388983356+1994.208663734403j,1401.1534736129177+2252.393741799649j,1572.4087163089234+2526.061502424557j,1821.4328498729933+2900.292242328945j,1948.130731412649+3122.038592050948j,2156.4965661922456+3445.771628466604j,2362.93411968582+3780.293467704892j,2584.5627084203643+4132.885709261594j,2817.9286302723035+4502.213252829973j,3055.7759084165964+4885.121520490125j,3311.34239588096+5284.713744126718j,3578.489821553494+5702.459312878916j,3850.3315353072994+6134.691477212938j,4163.205978830017+6591.667928828378j,4549.36113964276+7079.296706445656j
